종목코드,종목명
033560.KQ,블루콤
369370.KQ,블리츠웨이엔터테인먼트
126340.KQ,비나텍
121800.KQ,비덴트
082800.KQ,비보존 제약
318410.KQ,비비씨
419540.KQ,비스토스
146320.KQ,비씨엔씨
200780.KQ,비씨월드제약
413640.KQ,비아이매트릭스
141000.KQ,비아트론
083650.KQ,비에이치아이
445360.KQ,비엔케이제1호스팩
473370.KQ,비엔케이제2호스팩
065170.KQ,비엘팜텍
086670.KQ,비엠티
335890.KQ,비올
230980.KQ,비유테크놀러지
082920.KQ,비츠로셀
054220.KQ,비츠로시스
042370.KQ,비츠로테크
050090.KQ,비케이홀딩스
148780.KQ,비큐AI
307870.KQ,비투엔
377030.KQ,비트맥스
032850.KQ,비트컴퓨터
238200.KQ,비피도
093190.KQ,빅솔론
065450.KQ,빅텍
044480.KQ,빌리언스
069540.KQ,빛과전자
072950.KQ,빛샘전자
451250.KQ,삐아
143240.KQ,사람인
466410.KQ,사이냅소프트
452430.KQ,사피엔반도체
419120.KQ,산돌
122350.KQ,삼기
419050.KQ,삼기에너지솔루션즈
014970.KQ,삼륭물산
018310.KQ,삼목에스폼
053700.KQ,삼보모터스
009620.KQ,삼보산업
023600.KQ,삼보판지
448740.KQ,삼성스팩8호
009300.KQ,삼아제약
482630.KQ,삼양엔씨켐
036670.KQ,삼양케이씨아이
361670.KQ,삼영에스앤씨
054540.KQ,삼영엠텍
065570.KQ,삼영이엔씨
032280.KQ,삼일
002290.KQ,삼일기업공사
037460.KQ,삼지전자
032750.KQ,삼진
054090.KQ,삼진엘앤디
000250.KQ,삼천당제약
024950.KQ,삼천리자전거
038500.KQ,삼표시멘트
437730.KQ,삼현
017480.KQ,삼현철강
046390.KQ,삼화네트웍스
027580.KQ,상보
038540.KQ,상상인
452670.KQ,상상인제4호스팩
091580.KQ,상신이디피
263810.KQ,상신전자
089980.KQ,상아프론테크
042940.KQ,상지건설
042600.KQ,새로닉스
107600.KQ,새빗켐
411080.KQ,샌즈랩
252990.KQ,샘씨엔에스
378800.KQ,샤페론
294630.KQ,서남
038070.KQ,서린바이오
006730.KQ,서부T&D
079650.KQ,서산
100660.KQ,서암기계공업
019770.KQ,서연탑메탈
043710.KQ,서울리거
092190.KQ,서울바이오시스
046890.KQ,서울반도체
063170.KQ,서울옥션
027040.KQ,서울전자통신
018680.KQ,서울제약
036120.KQ,서울평가정보
093920.KQ,서원인텍
189860.KQ,서전기전
178320.KQ,서진시스템
122690.KQ,서진오토모티브
140070.KQ,서플러스글로벌
011370.KQ,서한
065710.KQ,서호전기
035890.KQ,서희건설
357550.KQ,석경에이티
003100.KQ,선광
067370.KQ,선바이오
217620.KQ,선샤인푸드
171090.KQ,선익시스템
086710.KQ,선진뷰티사이언스
014620.KQ,성광벤드
037350.KQ,성도이엔지
458650.KQ,성우
081580.KQ,성우전자
045300.KQ,성우테크론
015750.KQ,성우하이텍
365340.KQ,성일하이텍
080470.KQ,성창오토텍
043260.KQ,성호전자
148150.KQ,세경하이테크
188260.KQ,세니젠
053060.KQ,세동
340440.KQ,세림B&G
017510.KQ,세명전기
011560.KQ,세보엠이씨
396300.KQ,세아메카닉스
100700.KQ,세운메디칼
024830.KQ,세원물산
258830.KQ,세종메디칼
036630.KQ,세종텔레콤
039310.KQ,세중
067770.KQ,세진티에스
